medal_date,medal_type,medal_code,name,gender,country_code,country,team,team_gender,discipline,event,event_type,birth_date,code_athlete,code_team,is_medallist
2024-07-27,Gold Medal,1.0,Remco Evenepoel,Male,BEL,Belgium,UNKNOWN,UNKNOWN,Cycling Road,Men's Individual Time Trial,ATH,2000-01-25,1903136,UNKNOWN,True
2024-07-27,Silver Medal,2.0,Filippo Ganna,Male,ITA,Italy,UNKNOWN,UNKNOWN,Cycling Road,Men's Individual Time Trial,ATH,1996-07-25,1923520,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Van Aert Wout,Male,BEL,Belgium,UNKNOWN,UNKNOWN,Cycling Road,Men's Individual Time Trial,ATH,1994-09-15,1903147,UNKNOWN,True
2024-07-27,Gold Medal,1.0,Grace Brown,Female,AUS,Australia,UNKNOWN,UNKNOWN,Cycling Road,Women's Individual Time Trial,ATH,1992-07-07,1940173,UNKNOWN,True
2024-07-27,Silver Medal,2.0,Anna Henderson,Female,GBR,Great Britain,UNKNOWN,UNKNOWN,Cycling Road,Women's Individual Time Trial,ATH,1998-11-14,1912525,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Chloe Dygert,Female,USA,United States of America,UNKNOWN,UNKNOWN,Cycling Road,Women's Individual Time Trial,ATH,1997-01-01,1955079,UNKNOWN,True
2024-07-27,Gold Medal,1.0,Sanguk Oh,Male,KOR,Republic of Korea,UNKNOWN,UNKNOWN,Fencing,Men's Sabre Individual,HATH,1996-09-30,1927149,UNKNOWN,True
2024-07-27,Silver Medal,2.0,Fares Ferjani,Male,TUN,Tunisia,UNKNOWN,UNKNOWN,Fencing,Men's Sabre Individual,HATH,1997-07-22,1937783,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Luigi Samele,Male,ITA,Italy,UNKNOWN,UNKNOWN,Fencing,Men's Sabre Individual,HATH,1987-07-25,1924595,UNKNOWN,True
2024-07-27,Gold Medal,1.0,Kong Man Wai Vivian,Female,HKG,"Hong Kong, China",UNKNOWN,UNKNOWN,Fencing,Women's Épée Individual,HATH,1994-02-08,1963262,UNKNOWN,True
2024-07-27,Silver Medal,2.0,Auriane Mallo-breton,Female,FRA,France,UNKNOWN,UNKNOWN,Fencing,Women's Épée Individual,HATH,1993-10-11,1916183,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Eszter Muhari,Female,HUN,Hungary,UNKNOWN,UNKNOWN,Fencing,Women's Épée Individual,HATH,2002-09-30,1946375,UNKNOWN,True
2024-07-27,Gold Medal,1.0,Yeldos Smetov,Male,KAZ,Kazakhstan,UNKNOWN,UNKNOWN,Judo,Men -60 kg,HATH,1992-09-09,1935408,UNKNOWN,True
2024-07-27,Silver Medal,2.0,Luka Mkheidze,Male,FRA,France,UNKNOWN,UNKNOWN,Judo,Men -60 kg,HATH,1996-01-05,1891304,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Ryuju Nagayama,Male,JPN,Japan,UNKNOWN,UNKNOWN,Judo,Men -60 kg,HATH,1996-04-15,1896752,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Francisco Garrigos,Male,ESP,Spain,UNKNOWN,UNKNOWN,Judo,Men -60 kg,HATH,1994-12-09,1563544,UNKNOWN,True
2024-07-27,Gold Medal,1.0,Natsumi Tsunoda,Female,JPN,Japan,UNKNOWN,UNKNOWN,Judo,Women -48 kg,HATH,1992-08-06,1896735,UNKNOWN,True
2024-07-27,Silver Medal,2.0,Baasankhuu Bavuudorj,Female,MGL,Mongolia,UNKNOWN,UNKNOWN,Judo,Women -48 kg,HATH,1999-11-26,1914467,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Shirine Boukli,Female,FRA,France,UNKNOWN,UNKNOWN,Judo,Women -48 kg,HATH,1999-01-24,1891280,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Tara Babulfath,Female,SWE,Sweden,UNKNOWN,UNKNOWN,Judo,Women -48 kg,HATH,2006-01-03,1571911,UNKNOWN,True
2024-07-27,Gold Medal,1.0,Lukas Maertens,Male,GER,Germany,UNKNOWN,UNKNOWN,Swimming,Men's 400m Freestyle,ATH,2001-12-27,1907192,UNKNOWN,True
2024-07-27,Silver Medal,2.0,Elijah Winnington,Male,AUS,Australia,UNKNOWN,UNKNOWN,Swimming,Men's 400m Freestyle,ATH,2000-05-05,1946172,UNKNOWN,True
2024-07-27,Bronze Medal,3.0,Woomin Kim,Male,KOR,Republic of Korea,UNKNOWN,UNKNOWN,Swimming,Men's 400m Freestyle,ATH,2001-08-24,4654306,UNKNOWN,True
2024-07-27,Gold Medal,1.0,Ariarne Titmus,Female,AUS,Australia,UNKNOWN,UNKNOWN,Swimming,Women's 400m Freestyle,ATH,2000-09-07,1946150,UNKNOWN,True
