medal_type,medal_code,medal_date,name,gender,discipline,event,event_type,code,country_code,country
Gold Medal,1.0,2024-07-27,Remco EVENEPOEL,M,Cycling Road,Men's Individual Time Trial,ATH,1903136,BEL,Belgium
Silver Medal,2.0,2024-07-27,Filippo GANNA,M,Cycling Road,Men's Individual Time Trial,ATH,1923520,ITA,Italy
Bronze Medal,3.0,2024-07-27,Wout van AERT,M,Cycling Road,Men's Individual Time Trial,ATH,1903147,BEL,Belgium
Gold Medal,1.0,2024-07-27,Grace BROWN,W,Cycling Road,Women's Individual Time Trial,ATH,1940173,AUS,Australia
Silver Medal,2.0,2024-07-27,Anna HENDERSON,W,Cycling Road,Women's Individual Time Trial,ATH,1912525,GBR,Great Britain
Bronze Medal,3.0,2024-07-27,Chloe DYGERT,W,Cycling Road,Women's Individual Time Trial,ATH,1955079,USA,United States of America
Gold Medal,1.0,2024-07-27,China,W,Diving,Women's Synchronised 3m Springboard,TEAM,DIVW3MTEAM2-CHN01,CHN,People's Republic of China
Silver Medal,2.0,2024-07-27,United States,W,Diving,Women's Synchronised 3m Springboard,TEAM,DIVW3MTEAM2-USA01,USA,United States of America
Bronze Medal,3.0,2024-07-27,Great Britain,W,Diving,Women's Synchronised 3m Springboard,TEAM,DIVW3MTEAM2-GBR01,GBR,Great Britain
Gold Medal,1.0,2024-07-27,OH Sanguk,M,Fencing,Men's Sabre Individual,HATH,1927149,KOR,Republic of Korea
Silver Medal,2.0,2024-07-27,Fares FERJANI,M,Fencing,Men's Sabre Individual,HATH,1937783,TUN,Tunisia
Bronze Medal,3.0,2024-07-27,Luigi SAMELE,M,Fencing,Men's Sabre Individual,HATH,1924595,ITA,Italy
Gold Medal,1.0,2024-07-27,KONG Man Wai Vivian,W,Fencing,Women's Épée Individual,HATH,1963262,HKG,"Hong Kong, China"
Silver Medal,2.0,2024-07-27,Auriane MALLO-BRETON,W,Fencing,Women's Épée Individual,HATH,1916183,FRA,France
Bronze Medal,3.0,2024-07-27,Eszter MUHARI,W,Fencing,Women's Épée Individual,HATH,1946375,HUN,Hungary
Gold Medal,1.0,2024-07-27,Yeldos SMETOV,M,Judo,Men -60 kg,HATH,1935408,KAZ,Kazakhstan
Silver Medal,2.0,2024-07-27,Luka MKHEIDZE,M,Judo,Men -60 kg,HATH,1891304,FRA,France
Bronze Medal,3.0,2024-07-27,NAGAYAMA Ryuju,M,Judo,Men -60 kg,HATH,1896752,JPN,Japan
Bronze Medal,3.0,2024-07-27,Francisco GARRIGOS,M,Judo,Men -60 kg,HATH,1563544,ESP,Spain
Gold Medal,1.0,2024-07-27,TSUNODA Natsumi,W,Judo,Women -48 kg,HATH,1896735,JPN,Japan
Silver Medal,2.0,2024-07-27,Baasankhuu BAVUUDORJ,W,Judo,Women -48 kg,HATH,1914467,MGL,Mongolia
Bronze Medal,3.0,2024-07-27,Shirine BOUKLI,W,Judo,Women -48 kg,HATH,1891280,FRA,France
Bronze Medal,3.0,2024-07-27,Tara BABULFATH,W,Judo,Women -48 kg,HATH,1571911,SWE,Sweden
Gold Medal,1.0,2024-07-27,France,M,Rugby Sevens,Men,HTEAM,RU7MTEAM7---FRA01,FRA,France
Silver Medal,2.0,2024-07-27,Fiji,M,Rugby Sevens,Men,HTEAM,RU7MTEAM7---FIJ01,FIJ,Fiji
Bronze Medal,3.0,2024-07-27,South Africa,M,Rugby Sevens,Men,HTEAM,RU7MTEAM7---RSA01,RSA,South Africa
Gold Medal,1.0,2024-07-27,China 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,SHOXARMT----CHN01,CHN,People's Republic of China
Silver Medal,2.0,2024-07-27,Korea 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,SHOXARMT----KOR01,KOR,Republic of Korea
Bronze Medal,3.0,2024-07-27,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,HTEAM,SHOXARMT----KAZ01,KAZ,Kazakhstan
Gold Medal,1.0,2024-07-27,United States,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,SWMM4X100MFRUSA01,USA,United States of America
Silver Medal,2.0,2024-07-27,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,SWMM4X100MFRAUS01,AUS,Australia
Bronze Medal,3.0,2024-07-27,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,TEAM,SWMM4X100MFRITA01,ITA,Italy
Gold Medal,1.0,2024-07-27,Lukas MAERTENS,M,Swimming,Men's 400m Freestyle,ATH,1907192,GER,Germany
Silver Medal,2.0,2024-07-27,Elijah WINNINGTON,M,Swimming,Men's 400m Freestyle,ATH,1946172,AUS,Australia
Bronze Medal,3.0,2024-07-27,KIM Woomin,M,Swimming,Men's 400m Freestyle,ATH,4654306,KOR,Republic of Korea
Gold Medal,1.0,2024-07-27,Australia,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,SWMW4X100MFRAUS01,AUS,Australia
Silver Medal,2.0,2024-07-27,United States,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,SWMW4X100MFRUSA01,USA,United States of America
Bronze Medal,3.0,2024-07-27,China,W,Swimming,Women's 4 x 100m Freestyle Relay,TEAM,SWMW4X100MFRCHN01,CHN,People's Republic of China
Gold Medal,1.0,2024-07-27,Ariarne TITMUS,W,Swimming,Women's 400m Freestyle,ATH,1946150,AUS,Australia
Silver Medal,2.0,2024-07-27,Summer McINTOSH,W,Swimming,Women's 400m Freestyle,ATH,1967140,CAN,Canada
Bronze Medal,3.0,2024-07-27,Katie LEDECKY,W,Swimming,Women's 400m Freestyle,ATH,1935938,USA,United States of America
Gold Medal,1.0,2024-07-28,Korea,W,Archery,Women's Team,HTEAM,ARCWTEAM3---KOR01,KOR,Republic of Korea
Silver Medal,2.0,2024-07-28,China,W,Archery,Women's Team,HTEAM,ARCWTEAM3---CHN01,CHN,People's Republic of China
Bronze Medal,3.0,2024-07-28,Mexico,W,Archery,Women's Team,HTEAM,ARCWTEAM3---MEX01,MEX,Mexico
Gold Medal,1.0,2024-07-28,Jessica FOX,W,Canoe Slalom,Women's Kayak Single,ATH,1940205,AUS,Australia
Silver Medal,2.0,2024-07-28,Klaudia ZWOLINSKA,W,Canoe Slalom,Women's Kayak Single,ATH,1942126,POL,Poland
Bronze Medal,3.0,2024-07-28,Kimberley WOODS,W,Canoe Slalom,Women's Kayak Single,ATH,1896045,GBR,Great Britain
Gold Medal,1.0,2024-07-28,Pauline FERRAND PREVOT,W,Cycling Mountain Bike,Women's Cross-country,ATH,1895672,FRA,France
Silver Medal,2.0,2024-07-28,Haley BATTEN,W,Cycling Mountain Bike,Women's Cross-country,ATH,1955070,USA,United States of America
Bronze Medal,3.0,2024-07-28,Jenny RISSVEDS,W,Cycling Mountain Bike,Women's Cross-country,ATH,1564023,SWE,Sweden
Gold Medal,1.0,2024-07-28,KANO Koki,M,Fencing,Men's Épée Individual,HATH,1896548,JPN,Japan
Silver Medal,2.0,2024-07-28,Yannick BOREL,M,Fencing,Men's Épée Individual,HATH,1916194,FRA,France
Bronze Medal,3.0,2024-07-28,Mohamed ELSAYED,M,Fencing,Men's Épée Individual,HATH,1936462,EGY,Egypt
Gold Medal,1.0,2024-07-28,Lee KIEFER,W,Fencing,Women's Foil Individual,HATH,1950611,USA,United States of America
Silver Medal,2.0,2024-07-28,Lauren SCRUGGS,W,Fencing,Women's Foil Individual,HATH,1950643,USA,United States of America
Bronze Medal,3.0,2024-07-28,Eleanor HARVEY,W,Fencing,Women's Foil Individual,HATH,1973213,CAN,Canada
Gold Medal,1.0,2024-07-28,ABE Hifumi,M,Judo,Men -66 kg,HATH,1896763,JPN,Japan
Silver Medal,2.0,2024-07-28,Willian LIMA,M,Judo,Men -66 kg,HATH,1953840,BRA,Brazil
Bronze Medal,3.0,2024-07-28,Gusman KYRGYZBAYEV,M,Judo,Men -66 kg,HATH,1935410,KAZ,Kazakhstan
Bronze Medal,3.0,2024-07-28,Denis VIERU,M,Judo,Men -66 kg,HATH,1561138,MDA,Republic of Moldova
Gold Medal,1.0,2024-07-28,Diyora KELDIYOROVA,W,Judo,Women -52 kg,HATH,1566997,UZB,Uzbekistan
