country_code,country,Gold Medal,Silver Medal,Bronze Medal,Total
USA,United States of America,40,44,42,126
CHN,People's Republic of China,40,27,24,91
JPN,Japan,20,12,13,45
AUS,Australia,18,19,16,53
FRA,France,16,26,22,64
NED,Netherlands,15,7,12,34
GBR,Great Britain,14,22,29,65
KOR,Republic of Korea,13,9,10,32
ITA,Italy,12,13,15,40
GER,Germany,12,13,8,33
NZL,New Zealand,10,7,3,20
CAN,Canada,9,7,11,27
UZB,Uzbekistan,8,2,3,13
HUN,Hungary,6,7,6,19
ESP,Spain,5,4,9,18
SWE,Sweden,4,4,3,11
KEN,Kenya,4,2,5,11
NOR,Norway,4,1,3,8
IRL,Ireland,4,0,3,7
BRA,Brazil,3,7,10,20
IRI,Islamic Republic of Iran,3,6,3,12
UKR,Ukraine,3,5,4,12
ROU,Romania,3,4,2,9
GEO,Georgia,3,3,1,7
BEL,Belgium,3,1,6,10
BUL,Bulgaria,3,1,3,7
SRB,Serbia,3,1,1,5
CZE,Czechia,3,0,2,5
DEN,Denmark,2,2,5,9
AZE,Azerbaijan,2,2,3,7
CRO,Croatia,2,2,3,7
CUB,Cuba,2,1,6,9
BRN,Bahrain,2,1,1,4
SLO,Slovenia,2,1,0,3
TPE,Chinese Taipei,2,0,5,7
AUT,Austria,2,0,3,5
HKG,"Hong Kong, China",2,0,2,4
PHI,Philippines,2,0,2,4
ALG,Algeria,2,0,1,3
INA,Indonesia,2,0,0,2
ISR,Israel,1,5,1,7
POL,Poland,1,4,5,10
KAZ,Kazakhstan,1,3,3,7
JAM,Jamaica,1,3,2,6
RSA,South Africa,1,3,2,6
THA,Thailand,1,3,2,6
AIN,AIN,1,3,1,5
ETH,Ethiopia,1,3,0,4
SUI,Switzerland,1,2,5,8
ECU,Ecuador,1,2,2,5
POR,Portugal,1,2,1,4
GRE,Greece,1,1,6,8
ARG,Argentina,1,1,1,3
EGY,Egypt,1,1,1,3
TUN,Tunisia,1,1,1,3
BOT,Botswana,1,1,0,2
CHI,Chile,1,1,0,2
LCA,Saint Lucia,1,1,0,2
UGA,Uganda,1,1,0,2
DOM,Dominican Republic,1,0,2,3
GUA,Guatemala,1,0,1,2
MAR,Morocco,1,0,1,2
DMA,Dominica,1,0,0,1
PAK,Pakistan,1,0,0,1
TUR,Türkiye,0,3,5,8
MEX,Mexico,0,3,2,5
ARM,Armenia,0,3,1,4
COL,Colombia,0,3,1,4
PRK,Democratic People's Republic of Korea,0,2,4,6
KGZ,Kyrgyzstan,0,2,4,6
LTU,Lithuania,0,2,2,4
IND,India,0,1,5,6
MDA,Republic of Moldova,0,1,3,4
KOS,Kosovo,0,1,1,2
CYP,Cyprus,0,1,0,1
FIJ,Fiji,0,1,0,1
JOR,Jordan,0,1,0,1
MGL,Mongolia,0,1,0,1
PAN,Panama,0,1,0,1
TJK,Tajikistan,0,0,3,3
ALB,Albania,0,0,2,2
GRN,Grenada,0,0,2,2
MAS,Malaysia,0,0,2,2
PUR,Puerto Rico,0,0,2,2
CPV,Cabo Verde,0,0,1,1
CIV,Côte d'Ivoire,0,0,1,1
EOR,Refugee Olympic Team,0,0,1,1
PER,Peru,0,0,1,1
QAT,Qatar,0,0,1,1
SGP,Singapore,0,0,1,1
SVK,Slovakia,0,0,1,1
ZAM,Zambia,0,0,1,1
