discipline,event,event_gender,event_type,medal_type,name,country_code,country,city,event_year,medal_count
Cycling Road,Men Individual Time Trial,Male,Athlete,Gold,Evenepoel Remco,BEL,Belgium,Paris,2024,1
Cycling Road,Men Individual Time Trial,Male,Athlete,Silver,Ganna Filippo,ITA,Italy,Paris,2024,1
Cycling Road,Men Individual Time Trial,Male,Athlete,Bronze,Van Aert Wout,BEL,Belgium,Paris,2024,1
Cycling Road,Women Individual Time Trial,Female,Athlete,Gold,Brown Grace,AUS,Australia,Paris,2024,1
Cycling Road,Women Individual Time Trial,Female,Athlete,Silver,Henderson Anna,GBR,Great Britain,Paris,2024,1
Cycling Road,Women Individual Time Trial,Female,Athlete,Bronze,Dygert Chloe,USA,United States of America,Paris,2024,1
Fencing,Men Sabre Individual,Male,Athlete,Gold,Oh Sanguk,KOR,Republic of Korea,Paris,2024,1
Fencing,Men Sabre Individual,Male,Athlete,Silver,Ferjani Fares,TUN,Tunisia,Paris,2024,1
Fencing,Men Sabre Individual,Male,Athlete,Bronze,Samele Luigi,ITA,Italy,Paris,2024,1
Fencing,Women Sabre Individual,Female,Athlete,Gold,Kong Man Wai Vivian,HKG,"Hong Kong, China",Paris,2024,1
Fencing,Women Sabre Individual,Female,Athlete,Silver,Mallo-Breton Auriane,FRA,France,Paris,2024,1
Fencing,Women Sabre Individual,Female,Athlete,Bronze,Muhari Eszter,HUN,Hungary,Paris,2024,1
Judo,Men 60 Kg,Male,Athlete,Gold,Smetov Yeldos,KAZ,Kazakhstan,Paris,2024,1
Judo,Men 60 Kg,Male,Athlete,Silver,Mkheidze Luka,FRA,France,Paris,2024,1
Judo,Men 60 Kg,Male,Athlete,Bronze,Nagayama Ryuju,JPN,Japan,Paris,2024,1
Judo,Men 60 Kg,Male,Athlete,Bronze,Garrigos Francisco,ESP,Spain,Paris,2024,1
Judo,Women 48 Kg,Female,Athlete,Gold,Tsunoda Natsumi,JPN,Japan,Paris,2024,1
Judo,Women 48 Kg,Female,Athlete,Silver,Bavuudorj Baasankhuu,MGL,Mongolia,Paris,2024,1
Judo,Women 48 Kg,Female,Athlete,Bronze,Boukli Shirine,FRA,France,Paris,2024,1
Judo,Women 48 Kg,Female,Athlete,Bronze,Babulfath Tara,SWE,Sweden,Paris,2024,1
Swimming,Men 400M Freestyle,Male,Athlete,Gold,Maertens Lukas,GER,Germany,Paris,2024,1
Swimming,Men 400M Freestyle,Male,Athlete,Silver,Winnington Elijah,AUS,Australia,Paris,2024,1
Swimming,Men 400M Freestyle,Male,Athlete,Bronze,Kim Woomin,KOR,Republic of Korea,Paris,2024,1
Swimming,Women 400M Freestyle,Female,Athlete,Gold,Titmus Ariarne,AUS,Australia,Paris,2024,1
Swimming,Women 400M Freestyle,Female,Athlete,Silver,Mcintosh Summer,CAN,Canada,Paris,2024,1
Swimming,Women 400M Freestyle,Female,Athlete,Bronze,Ledecky Katie,USA,United States of America,Paris,2024,1
Canoe Slalom,Women Kayak Single,Female,Athlete,Gold,Fox Jessica,AUS,Australia,Paris,2024,1
Canoe Slalom,Women Kayak Single,Female,Athlete,Silver,Zwolinska Klaudia,POL,Poland,Paris,2024,1
Canoe Slalom,Women Kayak Single,Female,Athlete,Bronze,Woods Kimberley,GBR,Great Britain,Paris,2024,1
Cycling Mountain Bike,Women Cross Country,Female,Athlete,Gold,Ferrand Prevot Pauline,FRA,France,Paris,2024,1
Cycling Mountain Bike,Women Cross Country,Female,Athlete,Silver,Batten Haley,USA,United States of America,Paris,2024,1
Cycling Mountain Bike,Women Cross Country,Female,Athlete,Bronze,Rissveds Jenny,SWE,Sweden,Paris,2024,1
Fencing,Men Sabre Individual,Male,Athlete,Gold,Kano Koki,JPN,Japan,Paris,2024,1
Fencing,Men Sabre Individual,Male,Athlete,Silver,Borel Yannick,FRA,France,Paris,2024,1
Fencing,Men Sabre Individual,Male,Athlete,Bronze,Elsayed Mohamed,EGY,Egypt,Paris,2024,1
Fencing,Women Foil Individual,Female,Athlete,Gold,Kiefer Lee,USA,United States of America,Paris,2024,1
Fencing,Women Foil Individual,Female,Athlete,Silver,Scruggs Lauren,USA,United States of America,Paris,2024,1
Fencing,Women Foil Individual,Female,Athlete,Bronze,Harvey Eleanor,CAN,Canada,Paris,2024,1
Judo,Men 66 Kg,Male,Athlete,Gold,Abe Hifumi,JPN,Japan,Paris,2024,1
Judo,Men 66 Kg,Male,Athlete,Silver,Lima Willian,BRA,Brazil,Paris,2024,1
Judo,Men 66 Kg,Male,Athlete,Bronze,Kyrgyzbayev Gusman,KAZ,Kazakhstan,Paris,2024,1
Judo,Men 66 Kg,Male,Athlete,Bronze,Vieru Denis,MDA,Republic of Moldova,Paris,2024,1
Judo,Women 52 Kg,Female,Athlete,Gold,Keldiyorova Diyora,UZB,Uzbekistan,Paris,2024,1
